Gene symbol,Category,Mouse ortholog,Zebrafish orthologs,D. melanogaster orthologs,C. elegans orthologs,Immunolocalisation evidence***,Antibodies,C. elegans protein tagging studies,BM Interactors,Cell surface Interactors,BM substrate,"Subcellular localization (UNIPROT, Human Protein Atlas)",Matrixome 
ADAMTS9,Basement membrane,Adamts9,adamts9,AdamTS-A,gon-1,Human Protein Atlas (H),"HPA, Rabbit ɑ-ADAMTS9 pAb (Atlas Antibodies, HPA028567)",GON-1,"ACAN,ADAMTS1,ADAMTS10,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,SPON1,SPON2,THBS1,THBS2",-,-,"Extracellular matrix, Secreted, Endoplasmic reticulum",No
ADAMTS10,Basement membrane,Adamts10,adamts10,-,gon-1,Human Protein Atlas (H),"HPA, ɑ-ADAMTS10 pAb (Atlas Antibodies, HPA040223)",GON-1,"ADAMTS1,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,FBN1,SPON1,SPON2,THBS1,THBS2",-,-,"Extracellular matrix, Secreted, Intracellular",No
ADAMTS13,Basement membrane,Adamts13,adamts13,-,-,PMID: 17627784 (H),"PMID: 17627784, in-house rabbit-ɑ-ADAMTS13, or mouse-ɑ-ADAMTS13",-,"ADAMTS1,ADAMTS10,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,SPON1,SPON2,THBS1,THBS2",-,"Collagen, VWA","Secreted, Intracellular",No
ADAMTS14,Basement membrane,Adamts14,-,-,-,-,-,-,"ADAMTS1,ADAMTS10,ADAMTS13,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,COL2A1,COL5A1,SPON1,SPON2,THBS1,THBS2",-,"ADAM10, ADAMTS1, DCN, FN1, FBLN2, FBLN3, LOXL1, HSPG2, THBS1, procollagen types II, IV, V, XVIII, VCAN","Extracellular matrix, Secreted",No
ADAMTS15,Basement membrane,Adamts15,adamts15a,AdamTS-A,-,Human Protein Atlas (H),"HPA, Rabbit ɑ-ADAMTS15 pAb (Atlas Antibodies, HPA042867)",-,"ADAMTS1,ADAMTS10,ADAMTS13,ADAMTS14,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,SPON1,SPON2,THBS1,THBS2",-,-,"Extracellular matrix, Secreted",No
ADAMTS16,Basement membrane,Adamts16,adamts16,-,-,-,-,-,"ACAN,ADAMTS1,ADAMTS10,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,SPON1,SPON2,THBS1,THBS2",-,-,"Extracellular matrix, Secreted",No
ADAMTS17,Basement membrane,Adamts17,adamts17,-,-,-,-,-,"ADAMTS1,ADAMTS10,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,SPON1,SPON2,THBS1,THBS2",-,-,"Extracellular matrix, Secreted, Intracellular",No
ADAMTS18,Basement membrane,Adamts18,adamts18,-,adt-1,"PMID: 29860265 (H)
PMID: 32218432 (H)","PMID: 29860265, ɑ-ADAMTS8/18/20 (Thermo Fisher Scientific, PA5-64274)
PMID: 32218432, in-house ɑ-ADAMTS18 pAb (PMID: 32218432)",-,"ACAN,ADAMTS1,ADAMTS10,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,COL15A1,COL18A1,SPON1,SPON2,THBS1,THBS2",-,-,"Extracellular matrix, Secreted, Intracellular",No
ADAMTS19,Basement membrane,Adamts19,-,-,-,Human Protein Atlas (H),"HPA, ɑ-ADAMTS19 pAb (Atlas Antibodies, HPA056171)",-,"ADAMTS1,ADAMTS10,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,SPON1,SPON2,THBS1,THBS2",-,-,"Extracellular matrix, Secreted",No
ADAMTS20,Basement membrane,Adamts20,-,AdamTS-A,gon-1,PMID: 29860265 (H),"PMID: 29860265, ɑ-ADAMTS8/18/20 (Thermo Fisher Scientific, PA5-64274)",GON-1,"ADAMTS1,ADAMTS10,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,SPON1,SPON2,THBS1,THBS2",-,-,"Extracellular matrix, Secreted, Intracellular",No
AGRN,Basement membrane,Agrn,agrn,-,agr-1,"PMID: 16983329 (H)
PMID: 17927980 (H)
PMID: 20714324 (M)
PMID: 22382594 (H)
PMID: 23074202 (H)
PMID: 24137544 (H)
The Matrixome Project (M)","PMID: 16983329, ɑ-agrin mAb clone 7E12 (Chemicon)
PMID: 17927980, in-house agrin rabbit pAb 
PMID: 20714324, ɑ-agrin 131 mouse mAb (Stressgen Bioreagents, Victoria, BC, Canada)
PMID: 22382594, ɑ-mouse agrin, LG domain
PMID: 23074202, 6D2 mAb ɑ-agrin (Developmental Studies Hybridoma Bank)
PMID: 24137544, ɑ-agrinC (clone MI-91)
The Matrixome Project, Rabbit pAb ag1 (MATRIXOME PJ)",AGR-1,"BCAN,BGN,COLQ,DCN,HSPG2,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,LAMC3,NID1,VCAN","CSPG4,DAG1,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,ITGA1,ITGA2,ITGA3,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGAV,ITGB1,MUSK,SDC1,SDC4",-,"Extracellular matrix, Cell junction, Cell membrane, Membrane, Secreted, Synapse, Intracellular",Yes
AMELX,Basement membrane,Amelx,-,-,-,"PMID: 12430167 (M)
PMID: 1626718 (R)
The Matrixome Project (M)","PMID: 12430167, in-house ɑ-recombinant M179 amelogenin (gifted from Dr. Sim-mer, University of Texas)
PMID: 1626718, in-house ɑ-AMELX En3 (Zymed  Lab.,  Inc.)
The Matrixome Project, Rabbit pAb ɑ-amelx PC-062, cat. PC-062 (KAMIYA BIOMEDICAL)",-,"AMTN,CST3,FBN1,FN1,LAMB1,LAMB2,LAMC1,SPARCL1,TIMP1,TNC,VCAN,VWA1","ADAM10,EVA1A,GPC3",-,"Extracellular matrix, Secreted",Yes
AMTN,Basement membrane,Amtn,-,-,-,"PMID: 16787391 (R)
PMID: 28436474 (M)
Human Protein Atlas (H)","PMID: 16787391, in-house ɑ-AMTN pAb (PMID: 16787391)
PMID: 28436474, in-house ɑ-AMTN pAb/mAb
HPA, rabbit ɑ-Amelotin pAb (Atlas Antibodies, HPA036137)",-,"AMELX,CST3,FBN1,FN1,LAMB1,LAMB2,LAMC1,SPARCL1,TIMP1,TNC,VCAN,VWA1","ADAM10,EVA1A,GPC3",-,Secreted,No
ANG,Basement membrane,Ang,masel3,-,-,"PMID: 15166501 (H)
PMID: 27073441 (H)","PMID: 15166501, in-house ɑ-angiogenin pAb (PMID 15166501) and ɑ-angiogenin mAb MANG-1 (Bachem)
PMID: 27073441, ɑ-Ang-1 & ɑ-Ang-2 pAb (Santa Cruz Biotech., sc-6319 & sc-20718)",-,-,-,-,Secreted,No
BCAN,Basement membrane,Bcan,bcan,-,-,"PMID: 23074202 (H)
PMID: 29777959 (H)
Human Protein Atlas (H)","PMID: 23074202, mAb brevican clone 450616 (R&D systems),
PMID: 29777959, rabbit pAb BCAN (Abcam ab111719)
HPA, ɑ-BCAN, rabbit pAb (Atlas Antibodies, HPA007865)", -,"ADAMTS4,ADAMTS5,AGRN,BGN,DCN,HSPG2,MMP1,MMP2,MMP7,TNC,VCAN","CSPG4,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,SDC1,SDC4",-,"Extracellular matrix, Membrane, Secreted",No
BGN,Basement membrane,Bgn,"bgna,bgnb",-,-,"PMID: 11012890 (H)
PMID: 12122449 (M)
PMID: 15613083 (H)
PMID: 17543016 (M)
PMID: 18067481 (H)
PMID: 18951514 (M)
PMID: 21294898 (M)
PMID: 23074202 (H)","PMID: 11012890, in-house ɑ-BGN (From PMID 1597483)
PMID: 12122449, in-house rabbit ɑ-BGN clone LF-159 (PMID 85533864) 
PMID: 15613083, in-house rabbit ɑ-biglycan clone LF 106 (PMID 8553864) 
PMID: 17543016, in-house rabbit ɑ-BGN clone LF-159 (PMID 85533864) 
PMID: 18067481, ɑ-BGN pAb clone LF-121
PMID: 18951514, in-house rabbit ɑ-biglycan clone LF 106 (PMID 8553864) 
PMID: 21294898, in-house rabbit ɑ-biglycan clone LF 106 (PMID 8553864) 
PMID: 23074202, pAb ɑ-BGN (R&D Systems) ", -,"ACAN,AGRN,BCAN,COL4A2,COL5A1,COL6A1,COL9A1,COL9A2,COL9A3,DCN,FN1,HSPG2,POSTN,SPARC,TGFB1,TGFB2,VCAN","CSPG4,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,SDC1,SDC4",-,"Extracellular matrix, Secreted",No
CCDC80,Basement membrane,Ccdc80,ccdc80,-,-,"PMID: 18757743 (M)
Human Protein Atlas (H)
The Matrixome Project (M)","PMID: 18757743, in-house rabbit ɑ-ECM866/URB (CCDC80) (PMID: 18757743)
HPA, ɑ-CCDC80, rabbit pAb (Atlas Antibodies, HPA002266)
The Matrixome Project, Rabbit pAb ɑ-ECM866/URB 866C (MATRIXOME PJ)", -,-,-,-,"Extracellular matrix, Secreted, Intracellular",Yes
CERT1,Basement membrane,Col4a3bp,"cert1a,cert1b",cert,F25H2.6,"PMID: 27619726 (M)
Human Protein Atlas (H)","PMID: 27619726, mAb mouse ɑ-GPBP (CERT) (Fibrostatin, SL, Valencia, Spain)
HPA, Rabbit ɑ-CERT1 pAb (Atlas Antibodies, HPA042608 and HPA035645)",F25H2.6,COL4A3,-,-,"Cytoplasm, Endoplasmic reticulum, Golgi apparatus",No
COL2A1,Basement membrane,Col2a1,"col12a1a,col12a1b",-,-,PMID: 20690028 (Sh),"PMID: 20690028: Anti type II collagen (clone II-4CII) (MP Biomedicals, Ohio, USA)", -,"ADAMTS14,ADAMTS2,ADAMTS3,ADAMTS5,COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,P3H1,P3H2,LUM,MATN1,SPARC,TGFB1,TLL1","CD44,COL13A1,ITGA1,ITGA10,ITGA2,ITGA2B,ITGAV,ITGB1,ITGB3,SDC1",-,"Extracellular matrix, Secreted, Intracellular",No
COL4A1,Basement membrane,Col4a1,col4a1,"col4a1,vkg",emb-9,"PMID: 7657706 (H)
PMID: 24137544 (H)
PMID: 16651625 (H)
PMID: 23896970 (M)
PMID:17962449 (H)
The Matrixome Project (M)","PMID: 7657706, in-house peptide specific mAb H11 to col4a1
PMID: 24137544, Collagen α1α1α2(IV) antibody (human), Goat (Southern Biotechnology Associates)
PMID: 16651625, In-house rat mAb a1 antibody H11
PMID: 23896970, Collagen α1α1α2(IV) antibody (human), Goat (Southern Biotechnology Associates, AL/1340-01)
PMID:17962449, Collagen α1α1α2(IV) antibody, mouse mAb M3F7 (Developmental Studies Hybridoma Bank) and in-house rat mAb H11 a1 chain antibody
The Matrixome Project, Rat mAb H11 (PMID: 8548560)",EMB-9,"COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,FN1,HSPG2,LAMB1,P3H1,P3H2,LUM,NID1,NID2,SPARC","COL13A1,ITGA1,ITGA2,ITGA3,ITGA5,ITGA6,ITGA7,ITGA8,ITGAV,ITGB1,ITGB3,ITGB5,ITGB6,ITGB8,SDC1",-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",Yes
COL4A2,Basement membrane,Col4a2,col4a2,"col4a1,vkg",let-2,"PMID: 7657706 (H)
PMID: 24137544 (H)
PMID: 16651625 (H)
PMID: 23896970 (M)
PMID: 17962449 (H)
PMID: 22382594 (H)
The Matrixome Project (M)","PMID: 7657706, in-house peptide specific rat mAb H21 to col4a2
PMID: 24137544, Collagen α1α1α2(IV) antibody (human), Goat (Southern Biotechnology Associates)
PMID: 16651625,  In-house rat mAb a2 antibody H21 
PMID: 23896970, Collagen α1α1α2(IV) antibody (human), Goat (Southern Biotechnology Associates, AL/1340-01)
PMID: 17962449, Collagen α1α1α2(IV) antibody, mouse mAb M3F7 (Developmental Studies Hybridoma Bank) and in-house rat mAb H21 a2 chain antibody
PMID: 22382594, In-house rat mAb a2 antibody H21
The Matrixome Project, Rat mAb H22 (PMID: 8548560)",LET-2,"BGN,COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,FN1,HSPG2,P3H1,P3H2,LUM,NID1,SPARC","COL13A1,ITGA1,ITGA10,ITGA2,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGAV,ITGB1,ITGB3,ITGB4,ITGB5,ITGB8,SDC1",-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",Yes
COL4A3,Basement membrane,Col4a3,col4a3,"col4a1,vkg","let2,emb-9","PMID: 16651625 (H)
PMID: 23896970 (M)
PMID: 24137544 (H)
PMID: 7657706 (H)
The Matrixome Project (M)","PMID: 16651625, collagen IV α3 chain rat mAb H31 (in-house); 
PMID: 23896970, collagen IV α3α4α5 mouse/26-20, goat anti mouse
PMID: 24137544, Collagen α3α4α5(IV)-NC1 (bovine), clone 26-20 
PMID: 7657706, α-collagen IV α3 chain rat mAb H31 (in-house)
The Matrixome Project, Rat mAb H31 (PMID: 8548560)","LET-2, EMB-9","COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,CERT1,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,P3H1,P3H2,LUM","COL13A1,ITGA1,ITGA2,ITGA3,ITGAV,ITGB1,ITGB3,ITGB4,SDC1",-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",Yes
COL4A4,Basement membrane,Col4a4,col4a4,"col4a1,vkg","let2,emb-9","PMID: 7657706 (H)
PMID: 24137544 (H)
PMID: 16651625 (H)
PMID: 23896970 (M)
PMID: 17962449 (H)
The Matrixome Project (M)","PMID: 7657706, in-house peptide specific rat mAb H43 to col4a4 
PMID: 24137544, Collagen α3α4α5(IV)-NC1 (bovine), clone 26-20
PMID: 16651625, in-house peptide specific mAb H43 to col4a4  
PMID: 23896970, collagen IV α3α4α5 mouse/26-20, goat anti mouse
PMID: 17962449, in-house peptide specific rat mAb H43 to col4a4
The Matrixome Project, Rat mAb H43 (PMID: 8548560)","LET-2, EMB-9","COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,P3H1,P3H2,LUM","COL13A1,ITGA1,ITGA10,ITGA2,ITGA3,ITGAV,ITGB1,ITGB3,ITGB4,ITGB6,SDC1",-,"Basement membrane, Extracellular matrix, Secreted",Yes
COL4A5,Basement membrane,Col4a5,col4a5,"col4a1,vkg","let2,emb-9","PMID: 7657706 (H)
PMID: 24137544 (H)
PMID: 16651625 (H)
PMID: 23896970 (M)
The Matrixome Project (M)","PMID: 7657706, in-house peptide specific rat mAb H52 to col4a5
PMID: 24137544, Collagen α3α4α5(IV)-NC1 (bovine), clone 26-20 and Collagen α5(IV)-peri N (human), clone H53
PMID: 16651625, in-house peptide specific rat mAb H52 to col4a5
PMID: 23896970, collagen IV α3α4α5 mouse/26-20, goat anti mouse
The Matrixome Project, Rat mAb H53 in-house","LET-2, EMB-9","COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,P3H1,P3H2,LUM,SLIT1","COL13A1,ITGA1,ITGA2,ITGA3,ITGAV,ITGB1,ITGB3,ITGB4,SDC1",-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",Yes
COL4A6,Basement membrane,Col4a6,col4a6,"col4a1,vkg","let2,emb-9","PMID: 7657706 (H)
PMID: 16651625 (H)
The Matrixome Project (M)","PMID: 7657706, in-house peptide specific rat mAb H61, H62, H63 to col4a6
PMID: 16651625, in-house peptide specific rat mAb H61, H62, H63 to col4a6
The Matrixome Project, Rat mAb B66 in-house","LET-2, EMB-9","COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,P3H1,P3H2,LUM","COL13A1,ITGA1,ITGA2,ITGA3,ITGAV,ITGB1,ITGB3,SDC1",-,"Basement membrane, Extracellular matrix, Secreted",Yes
COL5A1,Basement membrane,Col5a1,col5a1,-,-,"PMID: 22437311 (M)
PMID: 6993495 (M)
PMID: 371411 (H)","PMID: 22437311, Monoclonal 18G5 antibody against N-term of proα1(V) chain (in-house)
PMID: 6993495, in-house affinity purified Ab to human AB2 collagen
PMID: 371411, affinity-purified Rabbit antibody for human collagen AB2", -,"ADAMTS14,ADAMTS2,ADAMTS3,BGN,COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,DCN,FBN1,FN1,P3H1,P3H2,LUM,MMP2,SPARC,TLL1","COL13A1,DDR2,ITGA1,ITGAV,ITGB1,ITGB3,SDC1",-,"Extracellular matrix, Secreted, Intracellular",No
COL6A1,Basement membrane,Col6a1,col6a1,-,-,"PMID: 24357721 (M)
PMID: 21406227 (H)
PMID: 18276594 (M)
The Matrixome Project (M)","PMID: 24357721, Goat pAb ɑ-mouse, COL6 clone S-16 (Santa Cruz Biotechnologies)
PMID: 21406227, Rabbit ɑ-collagen VI (Fitzgerald, Concord, MA) 
PMID: 18276594, pAb ɑ-collagen VI α1α2α3 (Chemicon, AB7821)
The Matrixome Project, Rabbit pAb ɑ-COL6 cat. LB-1697 (LSL)", -,"BGN,COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,DCN,P3H1,P3H2,MMP2,SPARC","COL13A1,ITGA1,ITGA2,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGAV,ITGB1,ITGB3,ITGB4,ITGB5,SDC1",-,"Extracellular matrix, Secreted",Yes
